"id","school_id","school_name","province","level","type","founding_year","school_age","total_students","avg_gpa","avg_attendance","avg_test_math","avg_test_literature","avg_composite_score","top_performer_count","report_date","created_at","updated_at"
15,"15","Trường THCS Dương 15","Hải Phòng","THCS","Dân lập",1979,46,10,"7.13","91.73","7.55","6.41","7.70",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
16,"16","Trường Tiểu học Bùi 16","Hải Phòng","Tiểu học","Công lập",1976,49,8,"7.23","90.52","8.09","7.50","7.94",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
17,"17","Trường THCS Bùi 17","Nghệ An","THCS","Quốc tế",1981,44,5,"7.05","88.96","8.12","8.68","8.01",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
18,"18","Trường THPT Dương 18","Hà Nội","THPT","Dân lập",2008,17,8,"7.52","86.81","6.41","7.34","7.68",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
19,"19","Trường THPT Bùi 19","TP. Hồ Chí Minh","THPT","Dân lập",1997,28,11,"7.01","91.05","7.66","7.25","7.77",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
20,"20","Trường Liên cấp XYZ 20","Hà Nội","Phổ thông Liên cấp","Công lập",1999,26,18,"7.46","90.58","7.27","7.41","7.90",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
21,"21","Trường THCS Nguyễn 21","Nghệ An","THCS","Quốc tế",1960,65,3,"5.57","85.57","7.34","7.72","7.05",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
22,"22","Trường THCS Mai 22","Nghệ An","THCS","Dân lập",2008,17,12,"6.94","89.46","7.27","6.96","7.60",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
23,"23","Trường Tiểu học Mai 23","Nghệ An","Tiểu học","Công lập",1971,54,9,"6.73","90.28","7.23","7.10","7.55",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
24,"24","Trường Liên cấp XYZ 24","Thanh Hóa","Phổ thông Liên cấp","Quốc tế",1973,52,13,"8.05","91.69","7.72","7.72","8.29",5,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
25,"25","Trường Tiểu học Hoàng 25","Hà Nội","Tiểu học","Công lập",1998,27,13,"7.74","93.28","7.58","7.82","8.20",7,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
26,"26","Trường THPT Dương 26","Nghệ An","THPT","Quốc tế",2003,22,7,"6.51","88.64","6.53","7.70","7.40",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
27,"27","Trường THCS Đặng 27","Nghệ An","THCS","Công lập",1995,30,9,"7.48","88.42","7.75","7.63","7.95",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
28,"28","Trường Liên cấp XYZ 28","Bình Dương","Phổ thông Liên cấp","Công lập",1988,37,12,"7.19","89.29","7.78","6.98","7.77",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
29,"29","Trường Tiểu học Lê 29","TP. Hồ Chí Minh","Tiểu học","Quốc tế",1997,28,11,"7.55","88.45","6.99","7.64","7.87",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
30,"30","Trường THCS Dương 30","Bình Dương","THCS","Quốc tế",1976,49,9,"7.60","92.49","7.54","6.97","7.99",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
31,"31","Trường THPT Lê 31","Đà Nẵng","THPT","Quốc tế",1988,37,13,"7.31","89.69","7.65","6.53","7.74",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
32,"32","Trường THPT Phạm 32","Hà Nội","THPT","Dân lập",2007,18,11,"6.68","89.15","7.96","6.91","7.58",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
33,"33","Trường THPT Phạm 33","Nghệ An","THPT","Công lập",1965,60,9,"6.71","92.43","7.73","7.87","7.80",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
34,"34","Trường Liên cấp XYZ 34","Đà Nẵng","Phổ thông Liên cấp","Dân lập",1988,37,14,"6.90","91.18","7.76","7.39","7.77",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
35,"35","Trường Liên cấp XYZ 35","Cần Thơ","Phổ thông Liên cấp","Công lập",1988,37,7,"7.04","87.81","7.31","8.38","7.80",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
36,"36","Trường Tiểu học Nguyễn 36","TP. Hồ Chí Minh","Tiểu học","Quốc tế",1978,47,11,"6.87","89.61","8.34","7.67","7.84",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
37,"37","Trường Tiểu học Vũ 37","TP. Hồ Chí Minh","Tiểu học","Công lập",1964,61,13,"8.05","88.18","7.68","6.76","8.03",5,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
38,"38","Trường THCS Vũ 38","Đà Nẵng","THCS","Dân lập",1962,63,5,"8.27","91.06","6.54","7.06","8.08",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
39,"39","Trường Liên cấp XYZ 39","Thanh Hóa","Phổ thông Liên cấp","Quốc tế",1970,55,9,"7.11","89.91","8.19","7.88","7.95",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
40,"40","Trường Tiểu học Mai 40","Bình Dương","Tiểu học","Dân lập",2006,19,11,"7.99","87.38","7.30","6.96","7.95",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
41,"41","Trường THPT Lê 41","Hà Nội","THPT","Công lập",2007,18,10,"7.42","87.64","7.46","6.92","7.75",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
42,"42","Trường THCS Bùi 42","TP. Hồ Chí Minh","THCS","Công lập",1966,59,15,"7.64","90.69","8.19","7.75","8.17",6,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
43,"43","Trường Liên cấp XYZ 43","TP. Hồ Chí Minh","Phổ thông Liên cấp","Công lập",2000,25,11,"7.89","89.83","7.66","8.29","8.24",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
44,"44","Trường THCS Nguyễn 44","Đà Nẵng","THCS","Quốc tế",1972,53,13,"7.88","90.72","7.14","7.75","8.11",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
45,"45","Trường THCS Phạm 45","Nghệ An","THCS","Dân lập",1962,63,14,"7.66","91.76","7.29","7.93","8.10",6,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
46,"46","Trường Tiểu học Đặng 46","Hà Nội","Tiểu học","Công lập",1976,49,11,"7.36","90.36","7.75","8.01","8.02",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
47,"47","Trường Tiểu học Nguyễn 47","TP. Hồ Chí Minh","Tiểu học","Quốc tế",1983,42,14,"7.80","89.24","7.60","7.70","8.09",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
48,"48","Trường Liên cấp XYZ 48","Thanh Hóa","Phổ thông Liên cấp","Công lập",1986,39,21,"7.28","88.67","7.32","7.56","7.80",5,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
49,"49","Trường Tiểu học Lê 49","Bình Dương","Tiểu học","Quốc tế",1979,46,11,"7.05","91.64","6.93","6.98","7.66",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
50,"50","Trường Liên cấp XYZ 50","Hà Nội","Phổ thông Liên cấp","Công lập",1997,28,7,"8.20","91.29","7.98","7.64","8.36",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
51,"51","Trường Liên cấp XYZ 51","Nghệ An","Phổ thông Liên cấp","Quốc tế",1960,65,11,"7.40","90.95","7.11","7.56","7.89",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
52,"52","Trường THCS Đặng 52","Bình Dương","THCS","Quốc tế",1999,26,4,"6.60","88.68","7.92","7.42","7.60",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
53,"53","Trường Liên cấp XYZ 53","Hải Phòng","Phổ thông Liên cấp","Công lập",1987,38,7,"7.17","89.56","6.71","7.10","7.62",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
54,"54","Trường Liên cấp XYZ 54","Nghệ An","Phổ thông Liên cấp","Quốc tế",1982,43,13,"7.04","88.49","7.27","7.44","7.68",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
55,"55","Trường Tiểu học Phạm 55","Hà Nội","Tiểu học","Công lập",1999,26,9,"6.67","93.64","7.52","8.47","7.88",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
56,"56","Trường THCS Bùi 56","Cần Thơ","THCS","Quốc tế",1993,32,11,"7.52","90.40","7.71","7.32","7.98",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
57,"57","Trường Tiểu học Nguyễn 57","Thanh Hóa","Tiểu học","Quốc tế",2004,21,11,"7.28","90.25","7.33","7.07","7.78",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
58,"58","Trường Tiểu học Lê 58","Thanh Hóa","Tiểu học","Công lập",2010,15,7,"6.45","89.39","7.72","7.88","7.60",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
59,"59","Trường Tiểu học Vũ 59","Thanh Hóa","Tiểu học","Quốc tế",1992,33,10,"8.17","93.91","7.62","7.31","8.32",5,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
60,"60","Trường Liên cấp XYZ 60","TP. Hồ Chí Minh","Phổ thông Liên cấp","Quốc tế",1989,36,13,"7.51","89.38","7.75","7.65","8.00",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
61,"61","Trường THCS Dương 61","Hải Phòng","THCS","Công lập",1995,30,13,"7.33","89.84","7.53","7.59","7.89",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
62,"62","Trường Liên cấp XYZ 62","Cần Thơ","Phổ thông Liên cấp","Quốc tế",1990,35,8,"7.44","93.32","6.90","7.80","7.98",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
63,"63","Trường Liên cấp XYZ 63","Đà Nẵng","Phổ thông Liên cấp","Công lập",1974,51,10,"7.55","91.28","7.03","7.70","7.97",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
64,"64","Trường Liên cấp XYZ 64","TP. Hồ Chí Minh","Phổ thông Liên cấp","Dân lập",2003,22,11,"7.48","88.57","7.69","7.13","7.87",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
65,"65","Trường THPT Trần 65","Hà Nội","THPT","Dân lập",1970,55,12,"7.67","85.88","8.31","7.51","8.02",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
66,"66","Trường Tiểu học Nguyễn 66","Hải Phòng","Tiểu học","Công lập",2001,24,12,"7.66","91.75","6.74","7.68","7.98",5,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
67,"67","Trường Tiểu học Hoàng 67","Thanh Hóa","Tiểu học","Dân lập",2000,25,10,"8.32","91.77","7.19","6.16","8.08",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
68,"68","Trường THCS Nguyễn 68","Bình Dương","THCS","Dân lập",1979,46,8,"7.93","89.92","7.44","7.22","8.07",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
69,"69","Trường THPT Đặng 69","Nghệ An","THPT","Quốc tế",2005,20,8,"7.67","91.79","6.95","7.56","8.00",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
70,"70","Trường THPT Lê 70","Hải Phòng","THPT","Công lập",1977,48,10,"7.98","91.02","7.29","7.69","8.17",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
71,"71","Trường Tiểu học Nguyễn 71","Thanh Hóa","Tiểu học","Quốc tế",1973,52,5,"7.90","88.76","8.37","7.91","8.26",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
72,"72","Trường Liên cấp XYZ 72","TP. Hồ Chí Minh","Phổ thông Liên cấp","Dân lập",1985,40,11,"7.39","90.25","7.82","8.08","8.05",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
73,"73","Trường Tiểu học Lê 73","Hải Phòng","Tiểu học","Quốc tế",2001,24,11,"7.49","91.49","6.86","6.60","7.76",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
74,"74","Trường Tiểu học Bùi 74","Nghệ An","Tiểu học","Quốc tế",1993,32,5,"6.08","90.98","8.73","7.08","7.53",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
75,"75","Trường THPT Bùi 75","Đà Nẵng","THPT","Công lập",1993,32,13,"8.10","90.68","7.85","6.89","8.17",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
76,"76","Trường Tiểu học Bùi 76","Thanh Hóa","Tiểu học","Dân lập",1981,44,14,"7.40","90.50","7.32","6.85","7.80",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
77,"77","Trường Tiểu học Lê 77","TP. Hồ Chí Minh","Tiểu học","Dân lập",1964,61,14,"7.49","90.17","7.16","7.70","7.93",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
78,"78","Trường THPT Bùi 78","Hải Phòng","THPT","Dân lập",1975,50,12,"7.58","89.07","7.48","6.76","7.84",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
79,"79","Trường THCS Dương 79","Nghệ An","THCS","Công lập",1966,59,14,"7.90","90.64","8.37","7.74","8.30",7,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
80,"80","Trường THCS Phạm 80","Hải Phòng","THCS","Quốc tế",1987,38,9,"8.02","87.20","7.35","7.32","8.02",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
81,"81","Trường Tiểu học Trần 81","Hải Phòng","Tiểu học","Dân lập",1989,36,13,"7.83","90.12","7.54","8.25","8.20",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
82,"82","Trường Liên cấp XYZ 82","Hà Nội","Phổ thông Liên cấp","Quốc tế",2010,15,12,"6.98","90.22","8.25","7.20","7.82",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
83,"83","Trường THCS Phạm 83","Bình Dương","THCS","Công lập",1962,63,4,"7.62","88.10","8.09","6.98","7.95",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
84,"84","Trường Liên cấp XYZ 84","Cần Thơ","Phổ thông Liên cấp","Quốc tế",2006,19,17,"7.08","89.47","7.64","7.60","7.80",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
85,"85","Trường THCS Nguyễn 85","Hải Phòng","THCS","Quốc tế",2002,23,12,"6.92","90.35","7.81","7.33","7.75",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
86,"86","Trường Liên cấp XYZ 86","Thanh Hóa","Phổ thông Liên cấp","Công lập",2000,25,8,"6.95","89.96","6.84","8.38","7.76",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
87,"87","Trường Tiểu học Lê 87","TP. Hồ Chí Minh","Tiểu học","Quốc tế",1974,51,8,"6.78","91.59","8.32","7.81","7.88",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
88,"88","Trường Tiểu học Lê 88","Nghệ An","Tiểu học","Công lập",1965,60,7,"7.61","87.16","7.81","7.72","7.99",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
89,"89","Trường THPT Dương 89","Bình Dương","THPT","Công lập",2004,21,9,"7.34","89.86","7.39","7.69","7.89",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
90,"90","Trường Tiểu học Mai 90","Hà Nội","Tiểu học","Dân lập",2001,24,18,"7.16","91.41","7.69","7.40","7.87",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
91,"91","Trường Liên cấp XYZ 91","Hà Nội","Phổ thông Liên cấp","Công lập",2004,21,9,"6.69","88.08","7.16","7.49","7.52",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
92,"92","Trường THCS Hoàng 92","Nghệ An","THCS","Dân lập",1975,50,8,"7.08","92.19","7.38","7.26","7.79",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
93,"93","Trường Liên cấp XYZ 93","Nghệ An","Phổ thông Liên cấp","Quốc tế",2002,23,13,"7.36","90.74","7.04","8.00","7.92",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
94,"94","Trường Tiểu học Đặng 94","Thanh Hóa","Tiểu học","Công lập",1995,30,5,"6.84","90.08","7.45","6.43","7.52",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
95,"95","Trường Tiểu học Hoàng 95","Hải Phòng","Tiểu học","Quốc tế",1973,52,7,"8.21","89.07","8.06","7.19","8.24",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
96,"96","Trường THCS Lê 96","Thanh Hóa","THCS","Quốc tế",1984,41,13,"8.09","88.92","7.62","7.48","8.17",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
97,"97","Trường THCS Trần 97","Đà Nẵng","THCS","Công lập",2007,18,7,"7.60","87.59","7.49","8.08","8.00",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
98,"98","Trường Tiểu học Nguyễn 98","Nghệ An","Tiểu học","Công lập",1991,34,14,"7.24","88.71","7.46","8.02","7.88",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
99,"99","Trường THCS Bùi 99","TP. Hồ Chí Minh","THCS","Quốc tế",1974,51,12,"7.25","89.93","6.80","7.66","7.76",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
100,"100","Trường THPT Lê 100","Hà Nội","THPT","Quốc tế",1984,41,10,"7.95","89.94","8.05","6.96","8.13",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
101,"101","Trường Liên cấp XYZ 101","Cần Thơ","Phổ thông Liên cấp","Quốc tế",1998,27,13,"7.29","91.38","7.36","7.99","7.96",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
102,"102","Trường THCS Mai 102","Thanh Hóa","THCS","Quốc tế",1970,55,4,"7.45","88.22","6.91","8.02","7.87",0,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
103,"103","Trường Tiểu học Lê 103","Bình Dương","Tiểu học","Công lập",1986,39,6,"7.03","88.70","8.04","7.25","7.76",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
104,"104","Trường Liên cấp XYZ 104","Hà Nội","Phổ thông Liên cấp","Quốc tế",1998,27,12,"7.69","88.29","7.96","6.52","7.90",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
105,"105","Trường THPT Lê 105","TP. Hồ Chí Minh","THPT","Dân lập",1984,41,4,"6.88","84.58","6.46","8.27","7.50",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
106,"106","Trường Liên cấp XYZ 106","Hà Nội","Phổ thông Liên cấp","Công lập",2004,21,11,"7.47","91.54","6.82","8.01","7.96",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
107,"107","Trường THCS Trần 107","TP. Hồ Chí Minh","THCS","Công lập",1977,48,11,"6.49","91.64","7.18","7.85","7.60",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
108,"108","Trường THPT Phạm 108","Hà Nội","THPT","Quốc tế",1978,47,4,"6.47","85.62","7.82","7.90","7.52",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
109,"109","Trường THCS Mai 109","Nghệ An","THCS","Công lập",1992,33,8,"8.43","89.48","7.00","6.76","8.12",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
110,"110","Trường THPT Vũ 110","Bình Dương","THPT","Công lập",2007,18,9,"7.35","86.89","7.28","8.15","7.86",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
111,"111","Trường THCS Đặng 111","Thanh Hóa","THCS","Dân lập",1963,62,10,"7.86","88.82","7.28","7.63","8.05",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
112,"112","Trường Liên cấp XYZ 112","Cần Thơ","Phổ thông Liên cấp","Dân lập",1988,37,11,"7.83","91.85","7.06","7.18","8.02",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
113,"113","Trường Tiểu học Dương 113","TP. Hồ Chí Minh","Tiểu học","Công lập",1976,49,4,"6.58","90.92","7.40","8.30","7.71",1,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
114,"114","Trường THCS Dương 114","Hà Nội","THCS","Quốc tế",1992,33,14,"7.24","90.71","7.45","7.37","7.84",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
115,"115","Trường THPT Mai 115","Bình Dương","THPT","Công lập",2003,22,8,"7.51","92.60","8.36","7.64","8.18",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
116,"116","Trường THPT Bùi 116","TP. Hồ Chí Minh","THPT","Quốc tế",1968,57,9,"8.09","92.24","7.10","7.35","8.17",4,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
117,"117","Trường Tiểu học Phạm 117","Hà Nội","Tiểu học","Dân lập",2005,20,19,"7.49","89.04","6.64","7.40","7.77",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
118,"118","Trường Liên cấp XYZ 118","Hải Phòng","Phổ thông Liên cấp","Công lập",1965,60,12,"7.08","91.28","7.65","7.99","7.92",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
119,"119","Trường Liên cấp XYZ 119","Cần Thơ","Phổ thông Liên cấp","Quốc tế",1983,42,11,"6.94","89.75","7.14","7.99","7.74",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
120,"120","Trường Liên cấp XYZ 120","Đà Nẵng","Phổ thông Liên cấp","Quốc tế",2006,19,12,"7.28","89.23","7.90","7.85","7.95",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
121,"121","Trường THCS Mai 121","Thanh Hóa","THCS","Công lập",1985,40,11,"7.50","89.40","7.93","7.04","7.93",3,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
122,"122","Trường Liên cấp XYZ 122","TP. Hồ Chí Minh","Phổ thông Liên cấp","Quốc tế",1992,33,11,"7.20","91.12","7.65","6.72","7.77",2,"2025-12-29","2025-12-29 20:03:20.610178","2025-12-29 20:03:20.610178"
